Index,Outer Diameter(m),Core Diameter Percentage(%),Beam Height(m),Beam Starting Width(m),Radial Limit Percentage(%),Circle Amount,Force(kN/m2),Concrete Volume(m3),Deflection Nodal Hybrid(m),Deflection Linear Hybrid(m),Deflection Avg Hybrid (m),Deflection Nodal Web(m),Deflection Linear Web(m),Deflection Avg Web (m),Deflection Nodal Waffle(m),Deflection Linear Waffle(m),Deflection Avg Waffle (m),Deflection Areal Concrete(m),Material Efficiency Hybrid (m/m3),Material Efficiency Web (m/m3),Material Efficiency Waffle (m/m3),Material Efficiency Areal Concrete (m/m3)
0,30,4.5,1.0,0.5,3,14,10.0,292,0.054,0.062,0.0588,0.063,0.081,0.0738,0.174,0.187,0.1818,0.171,0.00020136986301369863,0.00025273972602739725,0.0006226027397260274,0.0005856164383561645
1,30,4.6,1.0,0.5,3,14,10.0,317,0.052,0.059,0.05619999999999999,0.061,0.078,0.0712,0.166,0.178,0.1732,0.146,0.00017728706624605675,0.0002246056782334385,0.000546372239747634,0.00046056782334384855
2,30,4.7,1.0,0.5,3,14,10.0,317,0.052,0.059,0.05619999999999999,0.061,0.078,0.0712,0.166,0.178,0.1732,0.146,0.00017728706624605675,0.0002246056782334385,0.000546372239747634,0.00046056782334384855
3,30,4.8,1.0,0.5,3,14,10.0,317,0.052,0.059,0.05619999999999999,0.061,0.078,0.0712,0.166,0.177,0.17259999999999998,0.146,0.00017728706624605675,0.0002246056782334385,0.0005444794952681387,0.00046056782334384855
4,30,4.9,1.0,0.5,3,14,10.0,335,0.051,0.057,0.0546,0.06,0.076,0.0696,0.161,0.171,0.167,0.131,0.00016298507462686568,0.00020776119402985074,0.0004985074626865671,0.000391044776119403
5,30,5.0,1.0,0.5,3,14,10.0,334,0.051,0.057,0.0546,0.06,0.076,0.0696,0.161,0.171,0.167,0.131,0.00016347305389221559,0.00020838323353293412,0.0005,0.00039221556886227544
6,30,5.1,1.0,0.5,3,14,10.0,333,0.051,0.057,0.0546,0.06,0.076,0.0696,0.16,0.171,0.16660000000000003,0.131,0.00016396396396396398,0.000209009009009009,0.0005003003003003004,0.0003933933933933934
7,30,5.2,1.0,0.5,3,14,10.0,354,0.05,0.057,0.054200000000000005,0.059,0.074,0.06799999999999999,0.155,0.165,0.161,0.117,0.00015310734463276838,0.00019209039548022597,0.00045480225988700566,0.0003305084745762712
8,30,5.3,1.0,0.5,3,14,10.0,353,0.05,0.056,0.0536,0.059,0.074,0.06799999999999999,0.155,0.165,0.161,0.117,0.00015184135977337111,0.00019263456090651556,0.00045609065155807364,0.0003314447592067989
9,30,5.4,1.0,0.5,3,14,10.0,353,0.05,0.056,0.0536,0.058,0.074,0.0676,0.155,0.165,0.161,0.116,0.00015184135977337111,0.00019150141643059488,0.00045609065155807364,0.00032861189801699716
10,30,5.5,1.0,0.5,3,14,10.0,375,0.049,0.056,0.0532,0.057,0.072,0.066,0.149,0.159,0.155,0.103,0.00014186666666666665,0.000176,0.0004133333333333333,0.00027466666666666666
11,30,5.6,1.0,0.5,3,14,10.0,375,0.049,0.055,0.05260000000000001,0.057,0.071,0.06539999999999999,0.149,0.158,0.15439999999999998,0.103,0.0001402666666666667,0.00017439999999999996,0.0004117333333333333,0.00027466666666666666
12,30,5.7,1.0,0.5,3,14,10.0,373,0.05,0.055,0.053000000000000005,0.057,0.071,0.06539999999999999,0.149,0.158,0.15439999999999998,0.104,0.00014209115281501342,0.0001753351206434316,0.00041394101876675597,0.0002788203753351206
13,30,5.8,1.0,0.5,3,14,10.0,373,0.05,0.055,0.053000000000000005,0.057,0.071,0.06539999999999999,0.149,0.158,0.15439999999999998,0.104,0.00014209115281501342,0.0001753351206434316,0.00041394101876675597,0.0002788203753351206
14,30,5.9,1.0,0.5,3,14,10.0,397,0.048,0.054,0.0516,0.056,0.069,0.0638,0.144,0.152,0.1488,0.092,0.00012997481108312342,0.00016070528967254406,0.00037481108312342564,0.00023173803526448363
15,30,6.0,1.0,0.5,3,14,10.0,397,0.048,0.054,0.0516,0.056,0.069,0.0638,0.144,0.152,0.1488,0.092,0.00012997481108312342,0.00016070528967254406,0.00037481108312342564,0.00023173803526448363
16,30,6.1,1.0,0.5,3,14,10.0,396,0.048,0.053,0.051,0.056,0.069,0.0638,0.142,0.151,0.1474,0.091,0.00012878787878787878,0.0001611111111111111,0.00037222222222222225,0.0002297979797979798
17,30,6.2,1.0,0.5,3,14,10.0,419,0.049,0.053,0.0514,0.054,0.068,0.062400000000000004,0.137,0.146,0.1424,0.082,0.00012267303102625297,0.00014892601431980908,0.00033985680190930787,0.00019570405727923628
18,30,6.3,1.0,0.5,3,14,10.0,419,0.049,0.053,0.0514,0.054,0.067,0.0618,0.137,0.145,0.1418,0.082,0.00012267303102625297,0.00014749403341288782,0.00033842482100238666,0.00019570405727923628
19,30,6.4,1.0,0.5,3,14,10.0,417,0.048,0.053,0.051,0.054,0.067,0.0618,0.141,0.149,0.14579999999999999,0.082,0.0001223021582733813,0.00014820143884892087,0.00034964028776978415,0.00019664268585131895
20,30,6.5,1.0,0.5,3,14,10.0,436,0.048,0.053,0.051,0.054,0.066,0.061200000000000004,0.133,0.141,0.1378,0.075,0.00011697247706422018,0.00014036697247706424,0.0003160550458715596,0.0001720183486238532
21,30,6.6,1.0,0.5,3,14,10.0,435,0.048,0.053,0.051,0.054,0.066,0.061200000000000004,0.133,0.141,0.1378,0.075,0.00011724137931034482,0.0001406896551724138,0.0003167816091954023,0.00017241379310344826
22,30,6.7,1.0,0.5,3,14,10.0,435,0.047,0.052,0.05,0.054,0.066,0.061200000000000004,0.132,0.14,0.1368,0.075,0.00011494252873563219,0.0001406896551724138,0.0003144827586206897,0.00017241379310344826
23,30,6.8,1.0,0.5,3,14,10.0,459,0.048,0.053,0.051,0.053,0.065,0.060200000000000004,0.128,0.136,0.1328,0.067,0.0001111111111111111,0.00013115468409586058,0.00028932461873638346,0.00014596949891067538
24,30,6.9,1.0,0.5,3,14,10.0,459,0.048,0.053,0.051,0.053,0.064,0.0596,0.128,0.135,0.1322,0.067,0.0001111111111111111,0.0001298474945533769,0.0002880174291938998,0.00014596949891067538
25,30,7.0,1.0,0.5,3,14,10.0,461,0.048,0.053,0.051,0.052,0.064,0.059199999999999996,0.127,0.134,0.1312,0.066,0.0001106290672451193,0.0001284164859002169,0.00028459869848156187,0.00014316702819956617
26,30,7.1,1.0,0.5,3,14,10.0,481,0.047,0.052,0.05,0.052,0.063,0.0586,0.124,0.131,0.1282,0.061,0.00010395010395010396,0.00012182952182952183,0.00026652806652806656,0.0001268191268191268
27,30,7.2,1.0,0.5,3,14,10.0,480,0.046,0.051,0.048999999999999995,0.052,0.063,0.0586,0.124,0.131,0.1282,0.061,0.00010208333333333333,0.00012208333333333334,0.00026708333333333337,0.00012708333333333332
28,30,7.3,1.0,0.5,3,14,10.0,480,0.046,0.051,0.048999999999999995,0.052,0.063,0.0586,0.123,0.13,0.1272,0.061,0.00010208333333333333,0.00012208333333333334,0.000265,0.00012708333333333332
29,30,7.4,1.0,0.5,3,14,10.0,480,0.046,0.051,0.048999999999999995,0.052,0.063,0.0586,0.123,0.13,0.1272,0.06,0.00010208333333333333,0.00012208333333333334,0.000265,0.000125
30,30,7.5,1.0,0.5,3,14,10.0,510,0.047,0.052,0.05,0.051,0.061,0.057,0.119,0.125,0.1226,0.053,9.803921568627452e-05,0.00011176470588235294,0.0002403921568627451,0.00010392156862745098
31,30,7.6,1.0,0.5,3,14,10.0,510,0.047,0.052,0.05,0.051,0.061,0.057,0.118,0.125,0.1222,0.053,9.803921568627452e-05,0.00011176470588235294,0.00023960784313725492,0.00010392156862745098
32,30,7.7,1.0,0.5,3,14,10.0,513,0.048,0.052,0.0504,0.05,0.061,0.056600000000000004,0.118,0.124,0.12159999999999999,0.053,9.824561403508771e-05,0.00011033138401559455,0.000237037037037037,0.00010331384015594542
33,30,7.8,1.0,0.5,3,14,10.0,529,0.047,0.052,0.05,0.05,0.06,0.056,0.116,0.122,0.11960000000000001,0.049,9.45179584120983e-05,0.0001058601134215501,0.00022608695652173916,9.262759924385634e-05
34,30,7.9,1.0,0.5,3,14,10.0,528,0.047,0.051,0.0494,0.05,0.06,0.056,0.115,0.121,0.11860000000000001,0.049,9.356060606060606e-05,0.00010606060606060606,0.00022462121212121213,9.280303030303031e-05
35,30,8.0,1.0,0.5,3,14,10.0,528,0.047,0.051,0.0494,0.05,0.06,0.056,0.115,0.121,0.11860000000000001,0.049,9.356060606060606e-05,0.00010606060606060606,0.00022462121212121213,9.280303030303031e-05
36,30,8.1,1.0,0.5,3,14,10.0,559,0.05,0.053,0.0518,0.049,0.059,0.05499999999999999,0.111,0.117,0.11460000000000001,0.044,9.26654740608229e-05,9.838998211091233e-05,0.00020500894454382828,7.871198568872987e-05
37,30,8.2,1.0,0.5,3,14,10.0,558,0.05,0.053,0.0518,0.049,0.058,0.054400000000000004,0.111,0.117,0.11460000000000001,0.044,9.283154121863799e-05,9.74910394265233e-05,0.0002053763440860215,7.885304659498208e-05
38,30,8.3,1.0,0.5,3,14,10.0,558,0.049,0.053,0.0514,0.049,0.058,0.054400000000000004,0.111,0.116,0.11399999999999999,0.044,9.211469534050179e-05,9.74910394265233e-05,0.0002043010752688172,7.885304659498208e-05
39,30,8.4,1.0,0.5,3,14,10.0,629,0.045,0.048,0.046799999999999994,0.048,0.056,0.0528,0.104,0.109,0.107,0.034,7.440381558028615e-05,8.394276629570747e-05,0.00017011128775834658,5.405405405405406e-05
40,30,8.5,1.0,0.5,3,14,10.0,628,0.045,0.048,0.046799999999999994,0.048,0.056,0.0528,0.116,0.121,0.119,0.034,7.452229299363057e-05,8.407643312101911e-05,0.0001894904458598726,5.414012738853504e-05
41,30,8.6,1.0,0.5,3,14,10.0,628,0.045,0.048,0.046799999999999994,0.048,0.056,0.0528,0.104,0.108,0.1064,0.034,7.452229299363057e-05,8.407643312101911e-05,0.00016942675159235668,5.414012738853504e-05
42,30,8.7,1.0,0.5,3,14,10.0,647,0.045,0.048,0.046799999999999994,0.047,0.055,0.0518,0.102,0.106,0.10439999999999999,0.032,7.23338485316847e-05,8.006182380216383e-05,0.00016136012364760432,4.945904173106646e-05
43,30,8.8,1.0,0.5,3,14,10.0,646,0.045,0.048,0.046799999999999994,0.047,0.055,0.0518,0.102,0.106,0.10439999999999999,0.032,7.244582043343652e-05,8.018575851393189e-05,0.00016160990712074303,4.953560371517028e-05
44,30,8.9,1.0,0.5,3,14,10.0,646,0.045,0.047,0.0462,0.047,0.055,0.0518,0.101,0.106,0.104,0.032,7.151702786377708e-05,8.018575851393189e-05,0.0001609907120743034,4.953560371517028e-05
45,30,9.0,1.0,0.5,3,14,10.0,662,0.044,0.047,0.0458,0.047,0.055,0.0518,0.1,0.104,0.1024,0.03,6.918429003021148e-05,7.824773413897281e-05,0.00015468277945619336,4.5317220543806646e-05
46,30,9.1,1.0,0.5,3,14,10.0,664,0.044,0.047,0.0458,0.047,0.054,0.051199999999999996,0.099,0.104,0.10200000000000001,0.03,6.897590361445783e-05,7.710843373493975e-05,0.0001536144578313253,4.5180722891566266e-05
47,30,9.2,1.0,0.5,3,14,10.0,664,0.044,0.047,0.0458,0.047,0.054,0.051199999999999996,0.099,0.103,0.10139999999999999,0.03,6.897590361445783e-05,7.710843373493975e-05,0.00015271084337349397,4.5180722891566266e-05
48,30,9.3,1.0,0.5,3,14,10.0,663,0.044,0.047,0.0458,0.046,0.054,0.0508,0.099,0.103,0.10139999999999999,0.03,6.907993966817496e-05,7.662141779788838e-05,0.00015294117647058822,4.524886877828054e-05
49,30,9.4,1.0,0.5,3,14,10.0,679,0.044,0.046,0.045200000000000004,0.046,0.054,0.0508,0.097,0.102,0.09999999999999999,0.028,6.656848306332844e-05,7.481590574374079e-05,0.00014727540500736376,4.1237113402061855e-05
50,30,9.5,1.0,0.5,3,14,10.0,679,0.044,0.046,0.045200000000000004,0.046,0.054,0.0508,0.097,0.101,0.0994,0.028,6.656848306332844e-05,7.481590574374079e-05,0.00014639175257731958,4.1237113402061855e-05
51,30,9.6,1.0,0.5,3,14,10.0,678,0.043,0.046,0.0448,0.046,0.054,0.0508,0.097,0.101,0.0994,0.028,6.607669616519175e-05,7.492625368731563e-05,0.00014660766961651918,4.129793510324484e-05
52,30,9.7,1.0,0.5,3,14,10.0,677,0.042,0.044,0.0432,0.046,0.053,0.050199999999999995,0.097,0.101,0.0994,0.028,6.38109305760709e-05,7.41506646971935e-05,0.00014682422451994093,4.13589364844904e-05
53,30,9.8,1.0,0.5,3,14,10.0,676,0.041,0.044,0.0428,0.046,0.053,0.050199999999999995,0.096,0.1,0.0984,0.028,6.331360946745562e-05,7.426035502958579e-05,0.0001455621301775148,4.142011834319527e-05
54,30,9.9,1.0,0.5,3,14,10.0,676,0.041,0.044,0.0428,0.046,0.053,0.050199999999999995,0.096,0.1,0.0984,0.028,6.331360946745562e-05,7.426035502958579e-05,0.0001455621301775148,4.142011834319527e-05
55,30,10.0,1.0,0.5,3,14,10.0,702,0.041,0.044,0.0428,0.045,0.052,0.049199999999999994,0.094,0.098,0.0964,0.026,6.0968660968660965e-05,7.008547008547008e-05,0.00013732193732193733,3.7037037037037037e-05
56,30,10.1,1.0,0.5,3,14,10.0,701,0.041,0.043,0.0422,0.045,0.052,0.049199999999999994,0.094,0.098,0.0964,0.026,6.019971469329529e-05,7.018544935805991e-05,0.0001375178316690442,3.708987161198288e-05
57,30,10.2,1.0,0.5,3,14,10.0,701,0.04,0.043,0.0418,0.045,0.052,0.049199999999999994,0.093,0.097,0.09540000000000001,0.026,5.962910128388017e-05,7.018544935805991e-05,0.00013609129814550643,3.708987161198288e-05
58,30,10.3,1.0,0.5,3,14,10.0,715,0.04,0.043,0.0418,0.045,0.052,0.049199999999999994,0.092,0.096,0.0944,0.025,5.8461538461538454e-05,6.88111888111888e-05,0.00013202797202797203,3.4965034965034965e-05
59,30,10.4,1.0,0.5,3,14,10.0,717,0.04,0.043,0.0418,0.045,0.052,0.049199999999999994,0.092,0.096,0.0944,0.025,5.8298465829846576e-05,6.861924686192468e-05,0.00013165969316596932,3.486750348675035e-05
60,30,10.5,1.0,0.5,3,14,10.0,716,0.04,0.043,0.0418,0.045,0.052,0.049199999999999994,0.092,0.095,0.0938,0.025,5.837988826815642e-05,6.871508379888268e-05,0.00013100558659217876,3.491620111731844e-05
61,30,10.6,1.0,0.5,3,14,10.0,732,0.04,0.043,0.0418,0.044,0.051,0.04819999999999999,0.09,0.094,0.0924,0.023,5.710382513661202e-05,6.584699453551912e-05,0.0001262295081967213,3.14207650273224e-05
62,30,10.7,1.0,0.5,3,14,10.0,731,0.04,0.042,0.0412,0.044,0.051,0.04819999999999999,0.09,0.094,0.0924,0.023,5.6361149110807114e-05,6.593707250341996e-05,0.00012640218878248974,3.146374829001368e-05
63,30,10.8,1.0,0.5,3,14,10.0,731,0.04,0.042,0.0412,0.044,0.051,0.04819999999999999,0.09,0.093,0.09179999999999999,0.023,5.6361149110807114e-05,6.593707250341996e-05,0.0001255813953488372,3.146374829001368e-05
64,30,10.9,1.0,0.5,3,14,10.0,730,0.039,0.042,0.0408,0.044,0.051,0.04819999999999999,0.089,0.093,0.0914,0.023,5.5890410958904116e-05,6.602739726027396e-05,0.00012520547945205478,3.150684931506849e-05
65,30,11.0,1.0,0.5,3,14,10.0,749,0.04,0.042,0.0412,0.044,0.051,0.04819999999999999,0.088,0.092,0.09040000000000001,0.022,5.500667556742323e-05,6.435246995994659e-05,0.00012069425901201604,2.9372496662216287e-05
66,30,11.1,1.0,0.5,3,14,10.0,746,0.04,0.042,0.0412,0.044,0.051,0.04819999999999999,0.088,0.092,0.09040000000000001,0.022,5.522788203753351e-05,6.46112600536193e-05,0.00012117962466487937,2.9490616621983912e-05
67,30,11.2,1.0,0.5,3,14,10.0,745,0.039,0.042,0.0408,0.044,0.05,0.0476,0.088,0.091,0.08979999999999999,0.022,5.476510067114095e-05,6.389261744966444e-05,0.00012053691275167784,2.9530201342281877e-05
68,30,11.3,1.0,0.5,3,14,10.0,772,0.039,0.042,0.0408,0.043,0.05,0.0472,0.086,0.089,0.08779999999999999,0.021,5.284974093264249e-05,6.1139896373057e-05,0.00011373056994818652,2.7202072538860106e-05
69,30,11.4,1.0,0.5,3,14,10.0,771,0.039,0.042,0.0408,0.043,0.05,0.0472,0.086,0.089,0.08779999999999999,0.02,5.291828793774319e-05,6.121919584954604e-05,0.00011387808041504539,2.5940337224383918e-05
70,30,11.5,1.0,0.5,3,14,10.0,771,0.039,0.042,0.0408,0.043,0.05,0.0472,0.085,0.089,0.0874,0.02,5.291828793774319e-05,6.121919584954604e-05,0.00011335927367055773,2.5940337224383918e-05
71,30,11.6,1.0,0.5,3,14,10.0,784,0.039,0.041,0.0402,0.043,0.049,0.0466,0.085,0.088,0.08679999999999999,0.02,5.127551020408163e-05,5.9438775510204084e-05,0.0001107142857142857,2.5510204081632654e-05
72,30,11.7,1.0,0.5,3,14,10.0,786,0.039,0.042,0.0408,0.043,0.049,0.0466,0.084,0.087,0.0858,0.019,5.190839694656489e-05,5.928753180661578e-05,0.00010916030534351145,2.4173027989821883e-05
73,30,11.8,1.0,0.5,3,14,10.0,786,0.039,0.041,0.0402,0.043,0.049,0.0466,0.084,0.087,0.0858,0.019,5.114503816793893e-05,5.928753180661578e-05,0.00010916030534351145,2.4173027989821883e-05
74,30,11.9,1.0,0.5,3,14,10.0,801,0.039,0.041,0.0402,0.042,0.049,0.046200000000000005,0.083,0.086,0.08479999999999999,0.019,5.018726591760299e-05,5.767790262172285e-05,0.0001058676654182272,2.3720349563046193e-05
75,30,12.0,1.0,0.5,3,14,10.0,800,0.039,0.041,0.0402,0.042,0.049,0.046200000000000005,0.083,0.086,0.08479999999999999,0.019,5.025e-05,5.775000000000001e-05,0.00010599999999999999,2.3749999999999998e-05
76,30,12.1,1.0,0.5,3,14,10.0,799,0.038,0.041,0.0398,0.042,0.048,0.0456,0.082,0.085,0.08380000000000001,0.019,4.981226533166458e-05,5.707133917396746e-05,0.00010488110137672092,2.3779724655819773e-05
77,30,12.2,1.0,0.5,3,14,10.0,814,0.038,0.04,0.0392,0.042,0.048,0.0456,0.081,0.084,0.08280000000000001,0.018,4.8157248157248155e-05,5.6019656019656024e-05,0.00010171990171990173,2.211302211302211e-05
78,30,12.3,1.0,0.5,3,14,10.0,814,0.038,0.04,0.0392,0.042,0.048,0.0456,0.081,0.084,0.08280000000000001,0.018,4.8157248157248155e-05,5.6019656019656024e-05,0.00010171990171990173,2.211302211302211e-05
79,30,12.4,1.0,0.5,3,14,10.0,816,0.038,0.04,0.0392,0.042,0.048,0.0456,0.08,0.083,0.08180000000000001,0.018,4.803921568627451e-05,5.588235294117647e-05,0.0001002450980392157,2.2058823529411763e-05
80,30,12.5,1.0,0.5,3,14,10.0,842,0.039,0.041,0.0402,0.042,0.048,0.0456,0.079,0.082,0.08080000000000001,0.016,4.7743467933491685e-05,5.415676959619953e-05,9.596199524940619e-05,1.9002375296912114e-05
81,30,12.6,1.0,0.5,3,14,10.0,841,0.038,0.041,0.0398,0.042,0.048,0.0456,0.079,0.082,0.08080000000000001,0.016,4.732461355529132e-05,5.422116527942925e-05,9.607609988109395e-05,1.902497027348395e-05
